model,lens,hs,j,energy,model_kl
llama8b,lora_is,20,3,3.03559,0.216583
llama8b,lora_is,20,4,2.257917,0.049159
llama8b,lora_is,20,5,2.102957,0.132521
llama8b,lora_is,20,6,2.01061,0.016653
llama8b,lora_is,20,7,1.85766,0.021174
llama8b,lora_is,20,8,1.36043,0.120243
llama8b,lora_is,20,9,1.356802,0.192854
llama8b,lora_is,20,10,0.915569,0.045028
llama8b,lora_is,20,11,0.894875,0.002922
llama8b,lora_is,20,12,0.786902,0.084708
llama8b,lora_is,20,13,0.769494,0.08988
llama8b,lora_is,20,14,0.485819,0.342701
llama8b,lora_is,20,15,0.482782,0.1463
llama8b,random,24,0,,0.001654
llama8b,random,24,1,,0.002388
llama8b,random,24,2,,0.001228
llama8b,random,24,3,,0.001529
llama8b,random,24,4,,0.000826
llama8b,random,24,5,,0.001052
llama8b,random,24,6,,0.002406
llama8b,random,24,7,,0.002836
llama8b,random,24,8,,0.001032
llama8b,random,24,9,,0.000759
llama8b,random,24,10,,0.001491
llama8b,random,24,11,,0.000662
llama8b,random,24,12,,0.001686
llama8b,random,24,13,,0.000853
llama8b,random,24,14,,0.000798
llama8b,random,24,15,,0.002266
llama8b,logit,24,0,9.20006,0.662516
llama8b,logit,24,1,8.506436,0.93509
llama8b,logit,24,2,4.456408,0.508233
llama8b,logit,24,3,3.424472,0.320851
llama8b,logit,24,4,1.34232,0.006221
llama8b,logit,24,5,1.159801,0.003678
llama8b,logit,24,6,1.118487,0.249939
llama8b,logit,24,7,0.953212,0.038174
llama8b,logit,24,8,0.939709,0.086297
llama8b,logit,24,9,0.756674,0.110319
llama8b,logit,24,10,0.683417,0.091767
llama8b,logit,24,11,0.664226,0.064272
llama8b,logit,24,12,0.66412,0.485049
llama8b,logit,24,13,0.577148,0.171828
llama8b,logit,24,14,0.538852,0.028859
llama8b,logit,24,15,0.536159,0.011189
llama8b,tuned,24,0,3.649355,0.266891
llama8b,tuned,24,1,3.515202,0.97423
llama8b,tuned,24,2,2.959576,0.772158
llama8b,tuned,24,3,1.992765,0.246202
llama8b,tuned,24,4,1.64505,0.041585
llama8b,tuned,24,5,1.569949,0.096323
llama8b,tuned,24,6,1.430031,0.00094
llama8b,tuned,24,7,1.277631,0.004872
llama8b,tuned,24,8,1.264179,0.088618
llama8b,tuned,24,9,1.115376,0.093592
llama8b,tuned,24,10,1.041844,0.037282
llama8b,tuned,24,11,0.968358,0.09059
llama8b,tuned,24,12,0.68967,0.288107
llama8b,tuned,24,13,0.68722,0.351037
llama8b,tuned,24,14,0.655561,0.017857
llama8b,tuned,24,15,0.604809,0.07996
llama8b,lora_topk,24,0,3.933466,0.299551
llama8b,lora_topk,24,1,3.674687,0.706953
llama8b,lora_topk,24,2,3.661082,0.750122
llama8b,lora_topk,24,3,2.114123,0.099115
llama8b,lora_topk,24,4,1.680635,0.022031
llama8b,lora_topk,24,5,1.188699,0.095749
llama8b,lora_topk,24,6,1.058752,0.591861
llama8b,lora_topk,24,7,0.652637,0.073412
llama8b,lora_topk,24,8,0.60386,0.20026
llama8b,lora_topk,24,9,0.57012,0.156448
llama8b,lora_topk,24,10,0.568243,0.136627
llama8b,lora_topk,24,11,0.546155,0.02173
llama8b,lora_topk,24,12,0.505382,0.388229
llama8b,lora_topk,24,13,0.477052,0.078579
llama8b,lora_topk,24,14,0.443889,0.021778
llama8b,lora_topk,24,15,0.358821,0.007174
llama8b,lora_is,24,0,8.965969,0.314934
llama8b,lora_is,24,1,5.811859,0.725172
llama8b,lora_is,24,2,4.365184,0.703039
llama8b,lora_is,24,3,2.76436,0.002687
llama8b,lora_is,24,4,2.544516,0.374864
llama8b,lora_is,24,5,1.915293,0.009588
llama8b,lora_is,24,6,1.529935,0.143239
llama8b,lora_is,24,7,1.0803,0.144952
llama8b,lora_is,24,8,0.984055,0.700427
llama8b,lora_is,24,9,0.913699,0.024584
llama8b,lora_is,24,10,0.688532,0.206392
llama8b,lora_is,24,11,0.687691,0.026738
llama8b,lora_is,24,12,0.664192,0.138388
llama8b,lora_is,24,13,0.653631,0.019034
llama8b,lora_is,24,14,0.620453,0.195044
llama8b,lora_is,24,15,0.617931,0.367379
llama8b,random,28,0,,0.001333
llama8b,random,28,1,,0.001884
llama8b,random,28,2,,0.000908
llama8b,random,28,3,,0.001241
llama8b,random,28,4,,0.000685
llama8b,random,28,5,,0.00086
llama8b,random,28,6,,0.001814
llama8b,random,28,7,,0.002375
llama8b,random,28,8,,0.000857
llama8b,random,28,9,,0.000735
llama8b,random,28,10,,0.001203
llama8b,random,28,11,,0.00056
llama8b,random,28,12,,0.001327
llama8b,random,28,13,,0.000691
llama8b,random,28,14,,0.000657
llama8b,random,28,15,,0.001985
llama8b,logit,28,0,7.4295,0.561689
llama8b,logit,28,1,7.323935,0.260898
llama8b,logit,28,2,2.720699,0.522465
llama8b,logit,28,3,1.512998,0.404864
llama8b,logit,28,4,1.136575,0.367251
llama8b,logit,28,5,1.067608,0.040756
llama8b,logit,28,6,1.009915,0.588601
llama8b,logit,28,7,0.991309,0.062155
llama8b,logit,28,8,0.912224,0.162901
llama8b,logit,28,9,0.813155,0.062411
llama8b,logit,28,10,0.812284,0.302395
llama8b,logit,28,11,0.771224,0.152255
llama8b,logit,28,12,0.759861,0.117829
llama8b,logit,28,13,0.707667,0.338677
llama8b,logit,28,14,0.653663,0.068599
llama8b,logit,28,15,0.49807,0.062442
llama8b,tuned,28,0,3.410798,0.079878
llama8b,tuned,28,1,3.384116,0.521676
llama8b,tuned,28,2,3.150301,0.099755
llama8b,tuned,28,3,2.777238,0.068608
llama8b,tuned,28,4,2.765783,0.089209
llama8b,tuned,28,5,2.616858,0.018336
llama8b,tuned,28,6,2.351525,0.145528
llama8b,tuned,28,7,1.181357,0.036192
llama8b,tuned,28,8,1.059703,0.452647
llama8b,tuned,28,9,0.981115,0.123169
llama8b,tuned,28,10,0.942413,0.06384
llama8b,tuned,28,11,0.839175,0.018142
llama8b,tuned,28,12,0.788521,0.101865
llama8b,tuned,28,13,0.47522,0.039826
llama8b,tuned,28,14,0.089033,0.008111
llama8b,tuned,28,15,0.000276,0.001377
llama8b,lora_topk,28,0,5.170431,0.196992
llama8b,lora_topk,28,1,2.669993,0.151562
llama8b,lora_topk,28,2,1.723027,0.271397
llama8b,lora_topk,28,3,1.398842,0.085216
llama8b,lora_topk,28,4,1.063935,0.060057
llama8b,lora_topk,28,5,0.938118,0.305616
llama8b,lora_topk,28,6,0.90753,0.08741
llama8b,lora_topk,28,7,0.813267,0.187453
llama8b,lora_topk,28,8,0.786219,0.530904
llama8b,lora_topk,28,9,0.761406,0.275758
llama8b,lora_topk,28,10,0.553889,0.03031
llama8b,lora_topk,28,11,0.471805,0.130696
llama8b,lora_topk,28,12,0.435913,0.121535
llama8b,lora_topk,28,13,0.416423,0.132528
llama8b,lora_topk,28,14,0.265301,0.5532
llama8b,lora_topk,28,15,0.238645,0.025767
llama8b,lora_is,28,0,5.828394,0.333008
llama8b,lora_is,28,1,5.597728,0.204778
llama8b,lora_is,28,2,2.052549,0.208732
llama8b,lora_is,28,3,1.981242,0.004702
llama8b,lora_is,28,4,1.61814,0.085355
llama8b,lora_is,28,5,0.971664,0.124538
