model,ds,tau,chooser,pick,causal_best,nL,gain_pct,P_at_pick,P_obs,KL_at_pick,top1keep,eff,null
LLaMA-3-8B,2wmh,4.0,lens:logit,31,17,32,34.20257012554,0.03658683,0.012545985607050994,7.406165,0.05,0.0032460584381996628,False
LLaMA-3-8B,2wmh,4.0,lens:is_parity250,19,17,32,60.795343665790234,0.05527878,0.012545985607050994,4.406457,0.17,0.009697767252227586,False
LLaMA-3-8B,2wmh,4.0,lens:topk_parity250,31,17,32,34.20257012554,0.03658683,0.012545985607050994,7.406165,0.05,0.0032460584381996628,False
LLaMA-3-8B,2wmh,4.0,lens:tuned_parity250,22,17,32,58.74809866864332,0.05383978,0.012545985607050994,5.093531,0.12,0.008107105737247699,False
LLaMA-3-70B,hand,1.0,oracle(argmaxE),79,79,80,100.0,0.60126983,0.4773231930783769,0.714555,0.773585,0.17345989730898687,False
LLaMA-3-70B,hand,1.0,heuristic(last),79,79,80,100.0,0.60126983,0.4773231930783769,0.714555,0.773585,0.17345989730898687,False
LLaMA-3-70B,hand,1.0,lens:logit,79,79,80,100.0,0.60126983,0.4773231930783769,0.714555,0.773585,0.17345989730898687,False
LLaMA-3-70B,hand,1.0,lens:is_r64,79,79,80,100.0,0.60126983,0.4773231930783769,0.714555,0.773585,0.17345989730898687,False
LLaMA-3-70B,hand,2.0,oracle(argmaxE),55,55,80,100.0,0.5827655,0.4773231930783769,1.086735,0.726415,0.09702669640862138,False
LLaMA-3-70B,hand,2.0,heuristic(last),79,55,80,25.153553346796205,0.50384568,0.4773231930783769,1.904665,0.622642,0.013925014068942868,False
LLaMA-3-70B,hand,2.0,lens:logit,79,55,80,25.153553346796205,0.50384568,0.4773231930783769,1.904665,0.622642,0.013925014068942868,False
LLaMA-3-70B,hand,2.0,lens:is_r64,79,55,80,25.153553346796205,0.50384568,0.4773231930783769,1.904665,0.622642,0.013925014068942868,False
LLaMA-3-70B,2wmh,1.0,oracle(argmaxE),79,79,80,99.99999999999999,0.11222689,0.028901108301621115,1.693548,0.53,0.04920190139185832,False
LLaMA-3-70B,2wmh,1.0,heuristic(last),79,79,80,99.99999999999999,0.11222689,0.028901108301621115,1.693548,0.53,0.04920190139185832,False
LLaMA-3-70B,2wmh,1.0,lens:logit,79,79,80,99.99999999999999,0.11222689,0.028901108301621115,1.693548,0.53,0.04920190139185832,False
LLaMA-3-70B,2wmh,1.0,lens:is_r64,78,79,80,99.89201421436921,0.11213691,0.028901108301621115,1.692851,0.53,0.04916900642666064,False
LLaMA-3-70B,2wmh,2.0,oracle(argmaxE),78,78,80,100.0,0.1462197,0.028901108301621115,4.022273,0.31,0.029167237454637934,False
LLaMA-3-70B,2wmh,2.0,heuristic(last),79,78,80,94.83917262187552,0.14016509,0.028901108301621115,4.319587,0.29,0.025758013832891634,False
LLaMA-3-70B,2wmh,2.0,lens:logit,79,78,80,94.83917262187552,0.14016509,0.028901108301621115,4.319587,0.29,0.025758013832891634,False
LLaMA-3-70B,2wmh,2.0,lens:is_r64,78,78,80,100.0,0.1462197,0.028901108301621115,4.022273,0.31,0.029167237454637934,False
LLaMA-3-70B,2wmh,4.0,oracle(argmaxE),77,77,80,100.0,0.09034033,0.028901108301621115,6.54333,0.14,0.00938959546566945,False
LLaMA-3-70B,2wmh,4.0,heuristic(last),79,77,80,66.28482681357508,0.06962599,0.028901108301621115,6.884895,0.05,0.005915105705806535,False
LLaMA-3-70B,2wmh,4.0,lens:logit,79,77,80,66.28482681357508,0.06962599,0.028901108301621115,6.884895,0.05,0.005915105705806535,False
LLaMA-3-70B,2wmh,4.0,lens:is_r64,78,77,80,82.20031162880349,0.07940434,0.028901108301621115,6.536776,0.15,0.0077260153473790285,False
